id,Długość,Głębokość,Wysokość,Typ katalogowy,Cena katalogowa 2022
1,400,600,370,A3100.046,818
2,500,600,370,A3100.056,872
3,600,600,370,A3100.066,925
4,700,600,370,A3100.076,979
5,800,600,370,A3100.086,1033
6,900,600,370,A3100.096,1086
7,1000,600,370,A3100.106,1140
8,1100,600,370,A3100.116,1194
9,1200,600,370,A3100.126,1247
10,1300,600,370,A3100.136,1463
11,1400,600,370,A3100.146,1517
12,1500,600,370,A3100.156,1566
13,1600,600,370,A3100.166,1624
14,1700,600,370,A3100.176,1678
15,1800,600,370,A3100.186,1731
16,1900,600,370,A3100.196,1785
17,2000,600,370,A3100.206,1839
18,2100,600,370,A3100.216,2055
19,2200,600,370,A3100.226,2109
20,2300,600,370,A3100.236,2163
21,2400,600,370,A3100.246,2216
22,2500,600,370,A3100.256,2270
23,2600,600,370,A3100.266,2324
24,2700,600,370,A3100.276,2377
25,2800,600,370,A3100.286,2431
26,400,700,470,A3100.047,879
27,500,700,470,A3100.057,937
28,600,700,470,A3100.067,994
29,700,700,470,A3100.077,1052
30,800,700,470,A3100.087,1109
31,900,700,470,A3100.097,1167
32,1000,700,470,A3100.107,1224
33,1100,700,470,A3100.117,1282
34,1200,700,470,A3100.127,1340
35,1300,700,470,A3100.137,1581
36,1400,700,470,A3100.147,1638
37,1500,700,470,A3100.157,1696
38,1600,700,470,A3100.167,1753
39,1700,700,470,A3100.177,1811
40,1800,700,470,A3100.187,1868
41,1900,700,470,A3100.197,1926
42,2000,700,470,A3100.207,1983
43,2100,700,470,A3100.217,2224
44,2200,700,470,A3100.227,2282
45,2300,700,470,A3100.237,2339
46,2400,700,470,A3100.247,2397
47,2500,700,470,A3100.257,2454
48,2600,700,470,A3100.267,2512
49,2700,700,470,A3100.277,2569
50,2800,700,470,A3100.287,2627
51,400,600,850,A3101.046,985
52,500,600,850,A3101.056,1047
53,600,600,850,A3101.066,1108
54,700,600,850,A3101.076,1170
55,800,600,850,A3101.086,1232
56,900,600,850,A3101.096,1294
57,1000,600,850,A3101.106,1356
58,1100,600,850,A3101.116,1417
59,1200,600,850,A3101.126,1479
60,1300,600,850,A3101.136,1541
61,1400,600,850,A3101.146,1613
62,1500,600,850,A3101.156,1675
63,1600,600,850,A3101.166,1737
64,1700,600,850,A3101.176,1798
65,1800,600,850,A3101.186,1860
66,1900,600,850,A3101.196,1922
67,2000,600,850,A3101.206,1984
68,2100,600,850,A3101.216,2262
69,2200,600,850,A3101.226,2324
70,2300,600,850,A3101.236,2386
71,2400,600,850,A3101.246,2447
72,2500,600,850,A3101.256,2509
73,2600,600,850,A3101.266,2592
74,2700,600,850,A3101.276,2654
75,2800,600,850,A3101.286,2715
76,400,700,850,A3101.047,1026
77,500,700,850,A3101.057,1092
78,600,700,850,A3101.067,1158
79,700,700,850,A3101.077,1223
80,800,700,850,A3101.087,1289
81,900,700,850,A3101.097,1355
82,1000,700,850,A3101.107,1420
83,1100,700,850,A3101.117,1486
84,1200,700,850,A3101.127,1551
85,1300,700,850,A3101.137,1617
86,1400,700,850,A3101.147,1697
87,1500,700,850,A3101.157,1762
88,1600,700,850,A3101.167,1828
89,1700,700,850,A3101.177,1893
90,1800,700,850,A3101.187,1959
91,1900,700,850,A3101.197,2024
92,2000,700,850,A3101.207,2090
93,2100,700,850,A3101.217,2381
